Line No.,Order Code,RoHS Compliant?,Customer Reference No,Notes,Qty,Mfr Part No,Manufacturer Name,Manufacturer / Description,Availability,Unit Price (&euro;),Line Price (&euro;),Discount Price (&euro;)
1,8820937,RoHS: YES / PHTHALATES: YES,,,2.0,"MAL210119153E3",VISHAY,"VISHAY  Electrolytic Capacitor, Screw, 15000 µF, 100 V, ± 20%, Screw, 10000 hours @ 85°C",65,66.4100,132.82,,
2,1650978,RoHS: YES / PHTHALATES: YES,,,2.0,"T356G106J035AT",KEMET,"KEMET  Tantalum Capacitor, Polar, 10 µF, 35 V, ± 5%, Radial Leaded, 5 mm, 2 ohm",512,7.6600,15.32,,
3,3498327,RoHS: YES / PHTHALATES: YES,,,1.0,"AK-455-5G",AKASA,"AKASA  Thermal Compound, 5g, CPU, Grey, Syringe, 76cPs Viscosity, 2.4 W/mK, -40°C to 240°C",147,7.8000,7.80,,

,,,,,,,Sub Total,&euro;155.94
,,,,,,,Goods Total,&euro;155.94
,,,,,,,Delivery,&euro;0.00
,,,,,,,VAT,&euro;32.75
,,,,,,,Total,&euro;188.69
